true,pred,frac
1.0,1,0.7548269
0.0,0,0.37919137
0.0,0,0.45420882
0.0,0,0.49103183
0.0,0,0.2905014
1.0,0,0.6534414
0.0,0,0.33183017
1.0,0,0.6488254
0.0,0,0.436663
0.0,0,0.19332284
0.0,0,0.6752826
0.0,0,0.367883
1.0,0,0.66298485
1.0,0,0.5063509
0.0,0,0.4899299
1.0,0,0.3765212
1.0,0,0.65105665
0.0,0,0.48013687
0.0,0,0.5809734
0.0,0,0.49281704
0.0,0,0.41916892
0.0,0,0.2776869
0.0,0,0.45724583
0.0,0,0.2635254
0.0,0,0.22863016
1.0,0,0.5944081
1.0,0,0.661124
1.0,0,0.65223014
0.0,0,0.4656884
0.0,0,0.13717443
0.0,0,0.19341421
1.0,0,0.56014276
0.0,0,0.23081438
1.0,0,0.5957847
1.0,1,0.7836935
0.0,0,0.38733935
0.0,0,0.57550997
1.0,0,0.3486656
0.0,0,0.49289793
0.0,0,0.14957637
0.0,0,0.3826403
0.0,0,0.40185553
0.0,0,0.59157896
1.0,1,0.85640806
0.0,1,0.7650054
0.0,0,0.6282916
1.0,1,0.69706213
0.0,0,0.43256232
0.0,0,0.4764337
1.0,0,0.4122501
0.0,0,0.40342933
0.0,0,0.6068287
0.0,0,0.43546775
0.0,0,0.23508704
1.0,0,0.6035521
0.0,0,0.5826269
0.0,0,0.3155746
1.0,1,0.7002477
1.0,1,0.865492
0.0,0,0.45613748
0.0,0,0.30622178
1.0,0,0.54820126
1.0,1,0.7959038
1.0,0,0.6509817
1.0,1,0.8091655
1.0,0,0.64549685
1.0,0,0.5557303
0.0,0,0.46232265
0.0,0,0.3973465
1.0,0,0.6556233
0.0,0,0.39626807
1.0,0,0.6547609
1.0,1,0.7068299
0.0,0,0.3436406
0.0,0,0.33242646
1.0,0,0.5744254
0.0,0,0.19233356
0.0,0,0.3324474
1.0,0,0.5787799
0.0,0,0.37956318
0.0,0,0.22463849
0.0,0,0.5567456
1.0,1,0.7213913
1.0,0,0.469249
0.0,0,0.37094736
0.0,0,0.5732007
0.0,0,0.61205244
1.0,1,0.8224267
0.0,0,0.3445928
0.0,0,0.18815513
0.0,0,0.17365287
1.0,0,0.46900356
1.0,0,0.648543
0.0,0,0.49008143
0.0,0,0.13318732
0.0,0,0.5246413
1.0,1,0.75907075
0.0,1,0.7963512
1.0,0,0.47238934
0.0,0,0.5810625
1.0,1,0.7222488
1.0,0,0.6489138
1.0,0,0.534171
0.0,0,0.5215264
0.0,0,0.3535105
1.0,1,0.72904515
0.0,0,0.45148888
0.0,0,0.6798765
1.0,0,0.6165358
0.0,0,0.24844359
0.0,0,0.27837247
0.0,0,0.49347675
1.0,0,0.57157123
0.0,0,0.50500196
0.0,0,0.54744613
0.0,0,0.29106742
1.0,0,0.5175071
0.0,0,0.37345022
0.0,0,0.3937045
0.0,0,0.5515891
1.0,0,0.44437847
1.0,0,0.44072258
1.0,0,0.6030085
0.0,0,0.30776453
1.0,0,0.6229267
0.0,0,0.3488838
1.0,0,0.62282234
1.0,1,0.69002193
1.0,0,0.48136514
1.0,0,0.3120946
1.0,1,0.7223171
0.0,0,0.3990594
0.0,0,0.42587537
1.0,1,0.87491083
1.0,0,0.5624233
1.0,0,0.6888228
0.0,0,0.3992629
0.0,0,0.6182694
0.0,1,0.6934942
0.0,0,0.6539886
0.0,0,0.61738527
0.0,0,0.22836098
0.0,0,0.5426216
0.0,0,0.26862723
0.0,0,0.57478464
0.0,0,0.4987173
0.0,0,0.19944157
1.0,0,0.5431917
0.0,0,0.17302331
0.0,0,0.27178705
1.0,0,0.6476705
0.0,0,0.33003813
0.0,0,0.31597385
0.0,0,0.11650549
0.0,0,0.40256518
0.0,0,0.3561718
1.0,1,0.8141395
1.0,0,0.6360981
1.0,0,0.654775
0.0,0,0.39904863
0.0,0,0.55645
0.0,0,0.56417394
0.0,0,0.4156872
1.0,1,0.69039905
0.0,0,0.6682183
1.0,0,0.6132399
0.0,0,0.43247384
0.0,0,0.52895224
0.0,0,0.4187646
1.0,0,0.63951504
0.0,0,0.66977525
0.0,0,0.48928377
1.0,0,0.57791597
1.0,0,0.6766224
1.0,0,0.41812587
0.0,0,0.483173
0.0,0,0.4792319
0.0,0,0.5278379
1.0,0,0.5477171
0.0,0,0.40459758
0.0,1,0.7318065
1.0,0,0.54681945
0.0,0,0.08080913
1.0,0,0.63759536
1.0,0,0.6008003
1.0,0,0.5193294
0.0,0,0.39226538
0.0,0,0.27960193
0.0,0,0.6212382
0.0,0,0.63950944
1.0,0,0.4550299
0.0,0,0.64139277
0.0,0,0.594789
1.0,0,0.65042573
1.0,0,0.626871
0.0,0,0.44681573
0.0,0,0.50706184
1.0,0,0.5844149
0.0,0,0.4054491
1.0,1,0.7122037
1.0,0,0.60896087
0.0,1,0.78056866
1.0,0,0.6249372
1.0,0,0.6211437
1.0,0,0.6455926
1.0,0,0.54221
0.0,1,0.8100293
0.0,0,0.38357496
1.0,1,0.85089564
0.0,0,0.55745625
0.0,0,0.4158014
0.0,0,0.49595878
1.0,0,0.5524683
0.0,0,0.4920724
1.0,0,0.5165789
0.0,0,0.3443578
1.0,1,0.8388714
0.0,0,0.38937563
0.0,0,0.4334765
0.0,0,0.4076463
1.0,1,0.8368943
1.0,0,0.59744155
0.0,0,0.23069148
1.0,0,0.6095468
0.0,0,0.30992866
1.0,0,0.50079346
0.0,0,0.37399608
1.0,1,0.7323133
0.0,0,0.4433464
0.0,0,0.4561631
0.0,0,0.43736815
0.0,0,0.47970435
0.0,0,0.35151157
1.0,0,0.68994784
0.0,0,0.31955498
0.0,0,0.24877766
0.0,0,0.54730064
1.0,0,0.64598405
0.0,0,0.040972926
0.0,0,0.63441217
1.0,0,0.555858
0.0,0,0.35497913
1.0,0,0.6469604
0.0,0,0.4704812
1.0,0,0.64541966
0.0,0,0.03038948
0.0,0,0.49549067
0.0,0,0.42679417
1.0,0,0.6303719
1.0,0,0.5488574
0.0,0,0.5635562
0.0,0,0.4109821
1.0,0,0.66703534
0.0,0,0.36230725
1.0,1,0.7650372
0.0,0,0.4439932
1.0,1,0.73519194
1.0,0,0.43077973
0.0,0,0.6008665
0.0,0,0.38063082
1.0,1,0.72719693
1.0,1,0.898036
1.0,0,0.5670052
0.0,0,0.37079257
0.0,0,0.35738182
1.0,0,0.5052394
0.0,0,0.5579674
0.0,0,0.4715717
1.0,0,0.5068989
0.0,0,0.3623465
1.0,1,0.86217695
0.0,0,0.18846503
0.0,0,0.15769397
0.0,0,0.40407282
0.0,0,0.34552047
0.0,1,0.69631255
1.0,0,0.6670863
0.0,0,0.2391519
0.0,0,0.5353731
1.0,1,0.78635174
0.0,0,0.29138172
1.0,0,0.46455252
0.0,0,0.56588817
1.0,0,0.63505167
1.0,0,0.4772361
1.0,0,0.4650425
0.0,0,0.48953182
0.0,0,0.57733464
0.0,0,0.59622836
0.0,0,0.5254188
0.0,0,0.38210422
0.0,0,0.4531499
0.0,0,0.23769064
0.0,0,0.58487666
0.0,0,0.6719534
0.0,0,0.37899426
0.0,0,0.5956547
1.0,0,0.6832935
0.0,0,0.33684266
1.0,0,0.2058043
1.0,0,0.5784232
1.0,0,0.63557607
0.0,0,0.2056889
1.0,0,0.49631163
1.0,0,0.62535745
0.0,0,0.26631474
0.0,0,0.54061925
0.0,0,0.45074606
1.0,0,0.60869884
0.0,1,0.6907486
0.0,0,0.4698524
1.0,0,0.40693453
0.0,0,0.33197862
0.0,0,0.51285946
0.0,0,0.48668665
0.0,0,0.36076304
1.0,0,0.6670798
0.0,0,0.013768312
1.0,0,0.47322726
0.0,0,0.4901368
0.0,0,0.48569703
0.0,0,0.48377863
1.0,0,0.6131585
1.0,1,0.7785982
0.0,0,0.55229014
1.0,0,0.54270303
0.0,0,0.56551373
1.0,0,0.44522113
0.0,0,0.48551917
0.0,0,0.28764048
1.0,0,0.25954092
1.0,1,0.6934786
1.0,0,0.643183
0.0,0,0.65818846
1.0,0,0.59172463
0.0,0,0.3713957
0.0,0,0.10570234
1.0,0,0.60252064
1.0,0,0.6469307
0.0,0,0.6399257
0.0,0,0.4673667
0.0,0,-0.0013941843
0.0,0,0.6153089
0.0,0,0.48012048
0.0,0,0.54388565
1.0,1,0.7718683
0.0,0,0.4763202
0.0,0,0.38762575
1.0,0,0.606709
1.0,0,0.53808653
1.0,0,0.64163476
0.0,0,0.51837677
0.0,0,0.56994486
0.0,0,0.24717173
0.0,0,0.47656828
0.0,0,0.48546523
1.0,0,0.42522955
1.0,1,0.8285755
1.0,1,0.7823044
1.0,0,0.58618224
0.0,0,0.51964796
0.0,0,0.591696
0.0,0,0.43549567
1.0,0,0.493119
1.0,0,0.51972115
1.0,0,0.6891848
0.0,1,0.809664
1.0,1,0.7312692
0.0,0,0.4439755
0.0,0,0.15819815
0.0,0,0.5449449
0.0,0,0.50658417
1.0,0,0.67045593
0.0,0,0.29263014
0.0,0,0.5076363
1.0,0,0.60438573
1.0,0,0.3742807
1.0,0,0.6467147
0.0,0,0.48977783
0.0,0,0.4738688
0.0,0,0.04330277
0.0,0,0.37211347
0.0,0,0.40521795
0.0,0,0.3289585
0.0,0,0.4253136
0.0,0,0.22591563
0.0,0,0.59234774
1.0,1,0.78064895
0.0,0,0.4737804
0.0,0,0.140574
1.0,1,0.7416322
0.0,0,0.32932606
1.0,0,0.50179076
1.0,0,0.35610157
1.0,1,0.78850174
0.0,0,0.54075193
0.0,0,0.28975725
0.0,0,0.44498354
0.0,0,0.42739522
1.0,0,0.6723331
1.0,0,0.5280651
0.0,0,0.32447234
0.0,0,0.56838095
0.0,1,0.77813345
0.0,0,0.4601922
0.0,0,0.3157495
0.0,0,0.31158003
0.0,0,0.45034212
0.0,0,0.47486532
1.0,0,0.6899457
1.0,0,0.67147225
0.0,0,0.5647589
1.0,1,0.7973576
1.0,1,0.80631757
0.0,0,0.24725017
0.0,0,0.553145
1.0,0,0.65546036
1.0,0,0.67064476
0.0,0,0.5332809
0.0,1,0.7224463
0.0,0,0.48192823
0.0,0,0.37783378
0.0,0,0.46044213
0.0,0,0.42670894
0.0,1,0.6993757
0.0,0,0.40325195
1.0,1,0.7380677
0.0,0,0.331537
0.0,1,0.72153157
1.0,0,0.27268833
0.0,0,0.61116207
0.0,0,0.4148194
0.0,0,0.40071344
1.0,0,0.448247
1.0,0,0.6505258
1.0,0,0.6604175
1.0,0,0.67430055
1.0,0,0.55635524
0.0,0,0.49557433
0.0,0,0.5332899
0.0,0,0.45618027
0.0,0,0.32711875
1.0,0,0.56302315
1.0,1,0.70710593
0.0,0,0.4497711
0.0,0,0.2987972
0.0,0,0.67274654
0.0,0,0.5264318
0.0,0,0.39776707
0.0,0,0.2346054
0.0,0,0.08732754
0.0,0,0.5542747
0.0,0,0.35305697
0.0,0,0.39766496
0.0,0,0.34476185
1.0,1,0.79745513
0.0,0,0.49426603
0.0,0,0.4839495
1.0,0,0.45743385
0.0,0,0.422154
1.0,0,0.5117129
1.0,0,0.6884823
0.0,0,0.44117337
0.0,0,0.4350871
0.0,0,0.54009974
0.0,0,0.5320407
0.0,0,0.3206701
0.0,0,0.58097756
1.0,0,0.53872305
0.0,0,0.25431603
1.0,0,0.4376384
1.0,0,0.6658709
0.0,0,0.5527935
1.0,0,0.6332413
0.0,0,0.26716965
0.0,0,0.48546407
1.0,0,0.3824334
0.0,0,0.5303714
0.0,0,0.5499591
0.0,0,0.4150017
1.0,1,0.800603
0.0,0,0.04104125
1.0,1,0.6974024
0.0,0,0.24588197
0.0,0,0.2611576
0.0,0,0.3478654
1.0,0,0.5062975
1.0,0,0.35761645
0.0,0,0.4037066
1.0,1,0.74565583
0.0,0,0.28150082
0.0,0,0.5220597
0.0,0,0.35635048
1.0,0,0.61780995
0.0,0,0.60437167
0.0,0,0.28772894
1.0,0,0.42232013
0.0,0,0.5021161
0.0,0,0.3897956
0.0,0,0.59682363
0.0,0,0.66827714
1.0,0,0.5017665
0.0,0,0.13153067
0.0,0,0.46542054
0.0,0,0.089134604
0.0,0,0.687279
0.0,0,0.28387752
0.0,0,0.63055485
1.0,0,0.40425712
0.0,0,0.58039963
1.0,1,0.7028234
0.0,0,0.33317223
0.0,0,0.5481814
1.0,0,0.62794447
0.0,0,0.46658275
0.0,0,0.3970834
0.0,0,0.55745417
1.0,1,0.72391224
0.0,0,0.52900726
1.0,0,0.5124214
0.0,0,0.49848464
0.0,0,0.10856713
1.0,0,0.4763823
1.0,1,0.8491724
0.0,0,0.32732782
0.0,0,0.50282633
0.0,0,0.40384084
0.0,0,0.32213384
0.0,0,0.25887156
1.0,1,0.853274
0.0,0,0.38854396
0.0,0,0.315037
0.0,0,0.4245103
0.0,0,0.41386232
1.0,1,0.72975814
0.0,0,0.09851739
0.0,0,0.39785764
0.0,0,0.34315765
0.0,0,0.40504625
0.0,0,0.28365317
1.0,1,0.74020636
0.0,0,0.49535555
1.0,0,0.498299
1.0,0,0.28840286
0.0,0,0.33648002
1.0,0,0.65009224
0.0,0,0.52371836
0.0,1,0.71848285
0.0,1,0.8166943
1.0,0,0.67858744
0.0,0,0.42647722
1.0,1,0.7916479
0.0,0,0.12986785
0.0,0,0.24128927
0.0,0,0.4223745
0.0,0,0.41967106
0.0,0,0.19998313
0.0,0,0.3273105
0.0,0,0.26618785
0.0,0,0.47560185
0.0,0,0.5696744
0.0,0,0.43842778
0.0,0,0.26060635
0.0,0,0.27231115
1.0,0,0.6464875
0.0,0,0.36993018
1.0,0,0.5670097
0.0,0,0.5675266
0.0,0,0.597462
0.0,0,0.3473832
0.0,0,0.3078454
0.0,0,0.44929916
0.0,0,0.16321826
1.0,0,0.5949683
0.0,0,0.30080655
0.0,0,0.537498
1.0,1,0.7439977
0.0,0,0.63129413
0.0,0,0.56305474
0.0,0,0.4409324
0.0,0,0.26462978
0.0,0,0.3006721
0.0,0,0.28049397
0.0,0,0.266706
0.0,0,0.16086769
0.0,0,0.48055273
0.0,0,0.1455572
0.0,0,0.56332505
0.0,0,0.42269304
0.0,0,0.07013506
1.0,0,0.5710047
0.0,0,0.111644655
1.0,0,0.22196677
1.0,1,0.7203782
0.0,0,0.4747225
1.0,0,0.5073798
1.0,1,0.7450359
1.0,0,0.5524968
0.0,0,0.67263114
0.0,0,0.3936683
1.0,0,0.365448
0.0,0,0.29016674
0.0,0,0.1884813
1.0,1,0.7929333
0.0,0,0.16960843
0.0,0,0.3619123
0.0,0,0.60660285
0.0,0,0.465223
1.0,0,0.50826526
1.0,0,0.5830011
0.0,0,0.3347473
0.0,0,0.22296375
0.0,0,0.4947816
0.0,1,0.70640886
0.0,0,0.44126147
1.0,1,0.69004005
1.0,0,0.63544536
0.0,0,0.431899
0.0,0,0.42059937
1.0,0,0.6488498
0.0,0,0.60322416
1.0,0,0.58376867
0.0,0,0.47807094
0.0,0,0.56672347
0.0,0,0.38727054
0.0,0,0.4380027
0.0,0,0.4478528
0.0,0,0.36224547
0.0,0,0.41691878
1.0,0,0.67116594
1.0,1,0.6943134
1.0,0,0.6178297
0.0,0,0.47254398
0.0,0,0.5950238
0.0,0,0.46035218
0.0,1,0.6977178
0.0,0,0.3304817
0.0,0,0.44822803
0.0,0,0.29395008
0.0,0,0.5321065
0.0,0,0.20536286
0.0,0,0.46529076
1.0,1,0.7917559
0.0,0,0.2619745
0.0,0,-0.08390381
0.0,0,0.03323662
0.0,0,0.37400997
0.0,0,0.26028195
0.0,0,0.21721397
0.0,0,0.23413408
1.0,1,0.6985154
0.0,0,0.4122299
0.0,0,0.34334913
1.0,0,0.61550224
0.0,0,0.18321714
0.0,0,0.6037062
1.0,1,0.8802127
0.0,0,0.3138735
0.0,0,0.5513687
0.0,0,0.32675284
0.0,0,0.22910038
0.0,0,0.16296098
0.0,0,0.48240817
1.0,0,0.56543356
0.0,0,0.5477076
1.0,0,0.51836574
0.0,0,0.4369734
0.0,1,0.7385926
1.0,0,0.4787565
0.0,0,0.14022547
0.0,0,0.28638178
0.0,0,0.41864866
1.0,0,0.6425895
0.0,0,0.38483006
0.0,0,0.41151562
0.0,0,0.22713144
0.0,0,0.4235614
0.0,0,0.5524886
0.0,0,0.4437957
0.0,0,0.42119992
0.0,0,0.6135494
1.0,0,0.64474076
1.0,0,0.57564276
0.0,0,0.08672371
0.0,0,0.387219
0.0,1,0.90093976
0.0,0,0.3484858
0.0,1,0.7395202
0.0,0,0.45085332
0.0,0,0.3252995
1.0,0,0.54047376
0.0,0,0.27593195
0.0,0,0.44437405
0.0,0,0.6183002
0.0,0,0.44867092
1.0,1,0.835277
0.0,0,0.4141021
1.0,0,0.63055277
0.0,0,0.37966922
0.0,0,0.4282726
1.0,0,0.60392356
0.0,0,0.52372074
0.0,0,0.30846873
0.0,0,0.53055024
1.0,0,0.6035054
1.0,0,0.63552004
0.0,0,0.54693484
1.0,1,0.7474755
0.0,0,0.35826612
0.0,0,0.5438434
1.0,0,0.47144282
0.0,0,0.33619136
0.0,0,0.28199738
1.0,0,0.5691391
1.0,1,0.69892097
0.0,0,0.36625808
1.0,1,0.7800994
0.0,1,0.71204776
0.0,0,0.42171735
0.0,0,0.09647988
0.0,0,0.40981945
1.0,1,0.79829216
0.0,0,0.29343066
0.0,0,0.3054775
1.0,0,0.3246892
0.0,0,0.38817796
1.0,0,0.32739896
0.0,0,0.30130887
0.0,0,0.5226248
0.0,0,0.15853104
1.0,0,0.6206938
0.0,0,0.45577958
0.0,0,0.6783487
0.0,0,0.5936582
1.0,0,0.6803765
0.0,0,0.3989555
0.0,1,0.7051394
0.0,0,0.35400257
1.0,1,0.7538885
1.0,0,0.6759378
0.0,0,0.43038476
1.0,0,0.6454158
0.0,0,0.342063
0.0,0,0.4498104
1.0,1,0.69240487
0.0,0,0.3288662
1.0,0,0.5253011
0.0,1,0.7042117
0.0,0,0.59149164
1.0,0,0.5728812
0.0,0,0.53788793
0.0,0,0.56042075
1.0,1,0.71438456
0.0,0,0.58282185
1.0,0,0.5356285
1.0,0,0.6275925
0.0,0,0.3722274
1.0,0,0.607096
0.0,0,0.4452819
0.0,0,0.4363149
1.0,0,0.6849824
1.0,1,0.738701
0.0,0,0.6838236
0.0,0,0.37227148
0.0,0,0.5704092
0.0,0,0.22149856
1.0,1,0.79465115
1.0,0,0.36109895
0.0,0,0.2639079
0.0,0,0.43435064
0.0,0,0.19622104
0.0,0,0.61246455
1.0,0,0.68927956
1.0,0,0.3916152
0.0,0,0.1916781
0.0,0,0.2888871
1.0,1,0.70040387
0.0,0,0.1514974
0.0,0,0.35120595
0.0,0,0.5140608
1.0,0,0.5917351
1.0,0,0.52746433
1.0,0,0.37003964
1.0,1,0.7370389
0.0,0,0.54441893
0.0,0,0.4722026
0.0,0,0.5431696
0.0,0,0.25928012
0.0,0,0.4467373
1.0,0,0.66182417
1.0,0,0.433984
1.0,0,0.5330737
1.0,0,0.6176642
0.0,0,0.062057413
0.0,0,0.53443956
0.0,0,0.2684034
1.0,1,0.8953954
0.0,0,0.5441784
0.0,0,0.37869117
0.0,0,0.21716994
0.0,0,0.32538223
1.0,1,0.8750496
0.0,0,0.1391602
1.0,0,0.60964835
1.0,0,0.452278
1.0,0,0.5705718
1.0,1,0.89168215
1.0,0,0.67973495
0.0,0,0.6327525
0.0,0,0.39017868
0.0,0,0.40008435
1.0,0,0.60457754
0.0,0,0.350811
0.0,0,0.32299778
0.0,0,0.38210437
1.0,0,0.55790377
0.0,0,0.6034112
0.0,0,0.34951866
0.0,0,0.35292783
1.0,0,0.36311147
0.0,0,0.17112777
1.0,1,0.70765144
1.0,1,0.73688936
1.0,0,0.5975802
0.0,0,0.33908617
1.0,0,0.4480878
0.0,0,0.16274425
0.0,0,0.55418426
0.0,0,0.49810642
1.0,1,0.828028
0.0,0,0.4498458
1.0,0,0.5435628
1.0,0,0.68777657
0.0,0,0.5511744
0.0,0,0.32515383
0.0,0,0.308872
0.0,0,0.51172554
0.0,0,0.3845595
0.0,0,0.37749165
1.0,0,0.41690108
0.0,0,0.27091765
0.0,0,0.24986027
0.0,0,0.43416524
0.0,0,0.5366452
0.0,0,0.15543008
1.0,0,0.6847999
0.0,0,0.31505924
0.0,0,0.3311239
0.0,0,0.29836535
1.0,1,0.79338574
0.0,0,0.35388273
0.0,0,0.45244145
1.0,0,0.41801888
0.0,0,0.37869635
1.0,0,0.48587307
1.0,0,0.16843244
0.0,0,0.5950345
1.0,1,0.71892405
0.0,0,0.54496294
0.0,0,0.49771258
0.0,0,0.32381058
0.0,0,0.46847603
0.0,0,0.24136212
1.0,1,0.7175317
1.0,0,0.5882913
0.0,0,0.5965073
0.0,0,0.5206644
0.0,0,0.52599204
0.0,0,0.5055885
0.0,0,0.65102065
0.0,0,0.19647965
0.0,0,0.5104718
0.0,0,0.2645433
0.0,0,0.47587097
1.0,1,0.7483883
0.0,0,0.40716904
1.0,1,0.8823935
0.0,0,0.42070857
0.0,0,0.45216867
1.0,1,0.72393095
0.0,0,0.36971724
0.0,0,0.58425134
1.0,1,0.80994666
0.0,0,0.4161045
1.0,0,0.47992134
0.0,0,0.21319848
0.0,0,0.17959112
1.0,1,0.8039162
0.0,0,0.5002891
0.0,0,0.4921167
0.0,0,0.4414211
0.0,0,0.21516687
0.0,0,0.2979326
0.0,0,0.4956343
0.0,0,0.22877923
0.0,0,0.38398236
1.0,0,0.4656633
1.0,1,0.7881166
0.0,0,0.54157734
0.0,0,0.3581694
0.0,0,0.39835733
1.0,0,0.58587104
0.0,0,0.5831921
0.0,0,0.43410784
1.0,0,0.5553592
1.0,0,0.56240404
1.0,1,0.7256335
1.0,0,0.37538636
0.0,0,0.3414556
1.0,0,0.45264763
1.0,0,0.4757327
0.0,0,0.46746197
0.0,0,0.57077396
1.0,0,0.5859337
1.0,0,0.5738119
0.0,0,0.5122803
0.0,0,0.58861125
0.0,0,0.2773825
0.0,0,0.33566958
1.0,1,0.704187
1.0,0,0.37902567
1.0,0,0.60664994
0.0,0,0.353858
0.0,0,0.52638537
0.0,0,0.4307319
0.0,0,0.6764064
0.0,0,0.5715394
1.0,0,0.4904217
0.0,0,0.5788617
0.0,0,0.37695524
1.0,0,0.6422514
1.0,1,0.73956096
1.0,0,0.33107615
1.0,0,0.3314643
1.0,0,0.5870887
0.0,1,0.7099762
1.0,0,0.4562403
0.0,0,0.587167
1.0,0,0.53145087
1.0,0,0.64943105
0.0,0,0.5298391
0.0,0,0.55177796
1.0,1,0.6903727
0.0,0,0.5769056
0.0,0,0.2354084
0.0,0,0.46511543
0.0,0,0.47451243
0.0,0,0.5661933
0.0,0,0.42782348
0.0,0,0.3833595
0.0,0,0.34460586
0.0,0,0.50481075
0.0,0,0.3700571
0.0,0,0.522614
0.0,0,0.6024698
0.0,0,0.24992542
0.0,0,0.37641412
1.0,0,0.6762806
0.0,0,0.6349466
0.0,0,0.32878184
1.0,0,0.5424154
0.0,0,0.053186987
1.0,0,0.33843696
1.0,0,0.6710077
0.0,0,0.35011053
1.0,1,0.7456756
0.0,0,0.16647127
0.0,0,0.6289133
0.0,0,0.30151117
1.0,1,0.70828825
1.0,1,0.7199603
0.0,0,0.033298254
1.0,1,0.74561745
1.0,0,0.61594164
0.0,0,0.44583833
0.0,0,0.41855663
0.0,0,0.23508096
1.0,1,0.93792343
0.0,0,0.34733823
1.0,1,0.83177245
0.0,0,0.17597944
0.0,0,0.4471185
0.0,0,0.57639134
