true,pred,frac
1.0,1,0.7077125
0.0,0,0.37957704
0.0,0,0.5349479
0.0,0,0.41669238
0.0,0,0.42034703
1.0,1,0.7262222
0.0,0,0.17526083
1.0,0,0.47281793
0.0,0,0.26491547
0.0,0,0.31594747
0.0,0,0.25855634
0.0,0,0.57228434
1.0,0,0.52532685
1.0,0,0.3437429
0.0,0,0.62478805
1.0,0,0.45125094
1.0,0,0.6134822
0.0,0,0.59327507
0.0,0,0.5151684
0.0,0,0.54851
0.0,0,0.35176408
0.0,0,0.16535324
0.0,0,0.6035932
0.0,0,0.26896447
0.0,0,0.5064342
1.0,1,0.75577736
1.0,1,0.99999994
1.0,0,0.3878532
0.0,0,0.20920512
0.0,0,0.16509208
0.0,1,0.6991161
1.0,1,0.72334504
0.0,0,0.19067073
1.0,0,0.62266755
1.0,0,0.59605265
0.0,0,0.3254417
0.0,0,0.46703464
1.0,1,0.87377155
0.0,1,0.8098671
0.0,0,0.37811878
0.0,0,0.39614365
0.0,0,0.64112115
0.0,0,0.59157896
1.0,1,0.858162
0.0,1,0.8636311
0.0,1,0.84333646
1.0,1,0.9725399
0.0,0,0.63692236
0.0,0,0.5571916
1.0,0,0.42085087
0.0,0,0.47652364
0.0,0,0.4686681
0.0,0,0.4431661
0.0,0,0.36301818
1.0,1,0.8519747
0.0,0,0.5406597
0.0,0,0.5443874
1.0,1,0.75043213
1.0,1,1.0
0.0,0,0.09868027
0.0,0,0.43396625
1.0,0,0.23571852
1.0,0,0.5786091
1.0,1,0.96216404
1.0,1,1.0000001
1.0,1,0.7245634
1.0,1,0.8134976
0.0,0,0.6157274
0.0,0,0.53657156
1.0,1,0.71643007
0.0,0,0.21179953
1.0,1,0.92139864
1.0,1,0.9172721
0.0,0,0.6500533
0.0,0,0.17336082
1.0,0,0.610817
0.0,0,0.2584991
0.0,0,0.1725584
1.0,0,0.60468894
0.0,0,0.31861833
0.0,0,0.13762017
0.0,0,0.4920274
1.0,1,0.71248984
1.0,0,0.110268146
0.0,0,0.40069264
0.0,1,0.71251535
0.0,0,0.631399
1.0,1,0.811278
0.0,0,0.36836517
0.0,0,0.026553648
0.0,0,0.09851174
1.0,0,0.4613978
1.0,1,0.8277372
0.0,0,0.49905267
0.0,0,0.3229965
0.0,0,0.43236434
1.0,0,0.10842887
0.0,0,0.5923271
1.0,0,0.42095476
0.0,1,0.8427112
1.0,0,0.33014426
1.0,1,0.8124437
1.0,1,0.74060726
0.0,0,0.41273832
0.0,0,0.19774926
1.0,0,0.6174995
0.0,0,0.18881986
0.0,0,0.5046123
1.0,0,0.53432375
0.0,0,0.3647863
0.0,0,0.28705454
0.0,1,0.9202687
1.0,0,0.583054
0.0,0,0.60155267
0.0,0,0.5432869
0.0,0,0.34892267
1.0,0,0.54203767
0.0,0,0.33261573
0.0,0,-0.032587267
0.0,0,0.6089362
1.0,0,0.5543132
1.0,0,0.47595716
1.0,1,0.74988925
0.0,0,0.2540331
1.0,1,0.92139864
0.0,0,0.48379812
1.0,1,0.71312416
1.0,1,0.7753513
1.0,1,0.71643007
1.0,0,0.02985027
1.0,1,0.741621
0.0,0,0.16417202
0.0,0,0.42587537
1.0,0,0.57290214
1.0,0,0.4146018
1.0,1,0.8095715
0.0,0,0.49407992
0.0,0,0.5058833
0.0,0,0.58570206
0.0,0,0.31896055
0.0,0,0.6516397
0.0,0,0.2732554
0.0,0,0.6513356
0.0,0,0.029459931
0.0,0,0.57478464
0.0,0,0.5337553
0.0,0,0.33439124
1.0,1,0.88347447
0.0,0,0.40140492
0.0,0,0.13130146
1.0,0,0.54921466
0.0,0,0.68497324
0.0,0,0.28191254
0.0,0,0.22610807
0.0,0,0.43538168
0.0,1,0.858162
1.0,1,0.8634467
1.0,1,0.9020355
1.0,1,0.73182976
0.0,0,0.31400007
0.0,1,0.71365774
0.0,0,0.25803334
0.0,0,0.1298916
1.0,1,0.75028384
0.0,1,0.90211046
1.0,1,0.8909021
0.0,0,0.44460684
0.0,0,0.67937624
0.0,0,0.40362248
1.0,0,0.6188638
0.0,1,0.7577087
0.0,1,0.7404332
1.0,0,0.5891921
1.0,0,0.06099845
1.0,0,0.46077254
0.0,0,0.5422143
0.0,0,0.5151684
0.0,0,0.5444514
1.0,0,0.61333907
0.0,0,0.64694536
0.0,1,0.82617056
1.0,1,0.6911224
0.0,0,0.06752551
1.0,1,0.89195085
1.0,1,0.7933442
1.0,1,0.99999994
0.0,0,0.5051827
0.0,0,0.39507905
0.0,0,0.6170572
0.0,1,0.7397147
1.0,0,0.6582589
0.0,0,0.67449987
0.0,1,0.8584899
1.0,0,0.5373657
1.0,1,0.894988
0.0,0,0.0007504523
0.0,1,0.8315626
1.0,1,0.92139864
0.0,0,0.28365362
1.0,1,1.0000001
1.0,0,0.6733727
0.0,0,0.5317838
1.0,0,0.6586462
1.0,0,0.6478108
1.0,1,0.79968435
1.0,0,0.66303766
0.0,0,0.4920274
0.0,0,0.5547862
1.0,1,1.0000001
0.0,0,0.5551806
0.0,0,0.48875317
0.0,0,0.48472723
1.0,0,0.50527585
0.0,1,0.71649355
1.0,0,0.4784336
0.0,0,0.3285062
1.0,1,0.9369992
0.0,0,0.55579114
0.0,0,0.6524637
0.0,0,0.5488188
1.0,1,0.87494767
1.0,0,0.41107628
0.0,0,-0.0015871371
1.0,0,0.6402979
0.0,0,0.19674817
1.0,0,0.42471942
0.0,0,0.6551055
1.0,0,0.501807
0.0,0,0.5409889
0.0,0,0.6262159
0.0,0,0.52509856
0.0,0,0.5620032
0.0,0,0.5786458
1.0,1,0.856629
0.0,0,0.6657499
0.0,0,0.17062637
0.0,0,0.48998177
1.0,1,0.9494371
0.0,1,0.7266164
0.0,0,0.59425867
1.0,1,0.7087493
0.0,0,0.25688985
1.0,1,0.6922462
0.0,0,0.5521139
1.0,1,0.74600375
0.0,0,0.18188116
0.0,0,0.39444548
0.0,0,0.37955368
1.0,0,0.44485068
1.0,0,0.23573287
0.0,0,0.51850766
0.0,0,0.68926877
1.0,0,0.66703534
0.0,0,0.289998
1.0,0,0.6212533
0.0,0,0.508698
1.0,0,0.5719795
1.0,0,0.45675445
0.0,0,0.46703464
0.0,0,0.26665825
1.0,0,0.3319538
1.0,1,0.9511224
1.0,0,0.44103143
0.0,0,0.38995597
0.0,0,0.23483159
1.0,1,0.7531673
0.0,1,0.794228
0.0,0,0.6876401
1.0,0,0.46810952
0.0,0,0.57268506
1.0,1,0.86217695
0.0,0,0.22820435
0.0,0,0.24187794
0.0,1,0.80833346
0.0,0,0.3939572
0.0,0,0.5985113
1.0,1,0.8568152
0.0,0,0.3816672
0.0,0,0.083618864
1.0,0,0.5886104
0.0,0,0.20551157
1.0,1,0.8144114
0.0,1,0.9202687
1.0,0,0.54921466
1.0,0,0.52340734
1.0,0,0.5694951
0.0,0,0.55242944
0.0,0,0.54542106
0.0,0,0.3570434
0.0,0,0.5575047
0.0,1,0.70937693
0.0,0,0.08570799
0.0,0,0.11305775
0.0,1,0.72368926
0.0,1,0.7676584
0.0,0,0.5515653
0.0,1,0.99999994
1.0,0,0.523556
0.0,0,0.68903613
1.0,0,0.20839751
1.0,1,0.72412616
1.0,1,1.0
0.0,0,0.25466016
1.0,0,0.29379854
1.0,0,0.57407373
0.0,0,0.3704258
0.0,1,0.80623573
0.0,0,0.21842635
1.0,1,0.7099868
0.0,0,0.44210452
0.0,0,0.33313522
1.0,0,-0.00457073
0.0,0,0.33994958
0.0,0,0.38742644
0.0,1,0.7379958
0.0,0,0.34304053
1.0,0,0.33252275
0.0,0,0.19928645
1.0,0,0.56784165
0.0,0,0.5370376
0.0,1,0.7690425
0.0,0,0.63392764
1.0,0,0.6131585
1.0,1,0.95187706
0.0,0,0.20778349
1.0,1,0.7658342
0.0,0,0.46703464
1.0,0,0.17346835
0.0,0,0.5877227
0.0,0,0.124221414
1.0,0,0.46879274
1.0,1,0.8405157
1.0,1,0.8875075
0.0,0,0.6235421
1.0,1,1.0000001
0.0,0,0.41949958
0.0,0,0.13803127
1.0,0,0.60762024
1.0,1,0.7255755
0.0,0,0.5161073
0.0,1,0.787052
0.0,0,-0.01407774
0.0,0,0.6388359
0.0,0,0.6039386
0.0,1,0.80833346
1.0,1,0.99999994
0.0,0,0.661259
0.0,0,0.47422016
1.0,0,0.63540876
1.0,0,0.059401475
1.0,1,0.76863694
0.0,1,0.75599444
0.0,0,0.59295046
0.0,0,0.28532955
0.0,0,0.2244176
0.0,1,0.74811083
1.0,1,0.87377155
1.0,1,0.82472605
1.0,1,0.8578867
1.0,0,0.4238218
0.0,0,0.35992223
0.0,0,0.45794362
0.0,0,0.422048
1.0,0,0.46474153
1.0,0,0.5691122
1.0,1,0.7335206
0.0,1,0.809664
1.0,1,0.7170057
0.0,0,0.43008432
0.0,0,0.044316866
0.0,1,1.0
0.0,0,0.42188263
1.0,0,0.4922734
0.0,0,0.29263014
0.0,0,0.5114827
1.0,1,0.79523164
1.0,1,0.87377155
1.0,1,0.74209917
0.0,0,0.51228017
0.0,0,0.6808087
0.0,0,0.038655683
0.0,0,0.1675955
0.0,0,0.27844542
0.0,0,0.34395343
0.0,0,0.4352705
0.0,0,0.1748376
0.0,0,0.63108754
1.0,1,0.727252
0.0,0,0.6713299
0.0,0,0.06351916
1.0,1,0.8519747
0.0,0,0.32932606
1.0,1,0.92139864
1.0,0,0.4212094
1.0,0,0.23800746
0.0,0,0.43943217
0.0,0,0.374843
0.0,0,0.05786055
0.0,0,0.14781184
1.0,0,0.54397696
1.0,0,0.6588503
0.0,0,0.34494984
0.0,0,0.63575387
0.0,1,0.88272387
0.0,1,0.74619293
0.0,0,0.33808434
0.0,0,0.36836517
0.0,0,0.5555682
0.0,0,0.5194378
1.0,0,0.524788
1.0,1,0.8294324
0.0,1,0.72811043
1.0,1,0.92899567
1.0,1,0.76606727
0.0,0,0.36307096
0.0,0,0.28407314
1.0,1,0.87381476
1.0,0,0.41774026
0.0,0,0.4426689
0.0,1,0.86160886
0.0,0,0.36196142
0.0,0,0.3991517
0.0,0,0.47035933
0.0,0,0.42670894
0.0,1,0.700559
0.0,0,0.13603318
1.0,1,0.7457645
0.0,0,0.3168432
0.0,1,0.72153157
1.0,0,0.12099662
0.0,0,0.5949209
0.0,0,0.2618919
0.0,0,0.35535836
1.0,0,0.5135101
1.0,1,0.83634627
1.0,0,0.31590757
1.0,1,1.0000001
1.0,1,1.0000001
0.0,0,0.6513356
0.0,0,0.18932372
0.0,0,0.45466396
0.0,0,0.093255386
1.0,1,0.8568152
1.0,0,0.31063175
0.0,0,0.17498857
0.0,0,0.26459002
0.0,0,0.64013565
0.0,0,0.55399054
0.0,0,0.3277827
0.0,1,0.8412463
0.0,0,0.07582021
0.0,0,0.6437631
0.0,0,0.32336983
0.0,0,0.5151684
0.0,0,0.61472464
1.0,0,0.6757482
0.0,0,0.56651694
0.0,0,0.5276186
1.0,0,0.4193677
0.0,0,0.46742976
1.0,0,0.47208756
1.0,0,0.20076662
0.0,1,0.8568152
0.0,0,0.5417405
0.0,0,0.5680708
0.0,0,0.53192353
0.0,0,0.43809715
0.0,0,0.648051
1.0,0,0.5564462
0.0,0,0.2909698
1.0,0,0.5399267
1.0,1,0.76249045
0.0,0,0.60134363
1.0,1,0.8685212
0.0,0,0.28990406
0.0,0,0.35006735
1.0,0,0.45220363
0.0,0,0.6179205
0.0,0,0.28907436
0.0,0,0.3156425
1.0,1,0.9078476
0.0,0,0.0019110497
1.0,1,0.7492429
0.0,0,0.26617265
0.0,0,0.39628768
0.0,0,0.17066571
1.0,1,0.97851324
1.0,1,0.72916317
0.0,1,0.86031616
1.0,1,0.727252
0.0,0,0.40656784
0.0,0,0.30377597
0.0,0,0.12799358
1.0,0,0.39674217
0.0,0,0.47231138
0.0,0,0.28696597
1.0,0,0.10894357
0.0,0,0.41095063
0.0,0,0.43754652
0.0,1,0.7014914
0.0,0,0.66827714
1.0,0,0.19208203
0.0,0,0.119492024
0.0,0,0.34750992
0.0,0,0.1829617
0.0,0,0.4531608
0.0,0,0.26421618
0.0,1,0.7314458
1.0,1,0.7049551
0.0,1,0.7696733
1.0,1,0.7355819
0.0,0,0.26072532
0.0,0,0.66972566
1.0,1,0.77949834
0.0,1,0.69733477
0.0,0,0.182841
0.0,0,0.26141858
1.0,1,0.9499712
0.0,0,0.5298592
1.0,1,0.7999002
0.0,0,0.5779893
0.0,0,0.0542316
1.0,0,0.5121407
1.0,1,0.850675
0.0,0,0.37031552
0.0,0,0.38232398
0.0,0,0.33913633
0.0,0,0.36162838
0.0,0,0.3359729
1.0,1,0.8446358
0.0,0,0.3880685
0.0,0,0.43618548
0.0,0,0.43408102
0.0,0,0.2843454
1.0,0,0.65559316
0.0,0,0.07867625
0.0,0,0.49956176
0.0,0,0.3970662
0.0,0,0.2675236
0.0,0,0.40926364
1.0,1,0.7139181
0.0,0,0.5575475
1.0,1,0.70452356
1.0,0,0.004508028
0.0,0,0.3779326
1.0,1,0.8564152
0.0,0,0.26673043
0.0,1,0.7036403
0.0,1,0.78941447
1.0,0,0.59523886
0.0,0,0.45828345
1.0,1,0.8853549
0.0,0,0.08374514
0.0,0,0.19489534
0.0,0,0.5376063
0.0,0,0.40926364
0.0,0,0.33439124
0.0,0,0.2980375
0.0,0,0.43020678
0.0,0,0.63100785
0.0,0,0.34046578
0.0,0,0.34392118
0.0,0,0.26060635
0.0,0,0.3770964
1.0,0,0.6228126
0.0,0,0.36162838
1.0,0,0.6847085
0.0,0,0.5073936
0.0,0,0.55536777
0.0,0,0.5109187
0.0,0,0.31507573
0.0,0,0.34438914
0.0,0,0.121917106
1.0,1,0.8257963
0.0,0,0.19805358
0.0,0,0.18393363
1.0,1,0.75693977
0.0,1,0.7480134
0.0,0,0.20479664
0.0,0,0.3817814
0.0,0,0.4160021
0.0,0,0.462987
0.0,0,0.36898404
0.0,0,0.427527
0.0,0,0.14425774
0.0,0,0.5456382
0.0,0,4.4561923e-05
0.0,0,0.6226779
0.0,0,0.5020446
0.0,0,-0.002878053
1.0,1,0.8568152
0.0,0,0.02249343
1.0,0,0.16274306
1.0,0,0.5626137
0.0,0,0.63483036
1.0,0,0.5632572
1.0,1,0.7908072
1.0,0,0.5391298
0.0,1,0.69071364
0.0,0,0.1659073
1.0,1,0.73755896
0.0,0,0.6826442
0.0,0,0.31393838
1.0,1,0.74082243
0.0,0,0.29749197
0.0,0,0.37655264
0.0,0,0.62469006
0.0,0,0.4609032
1.0,1,0.8117639
1.0,1,0.8143549
0.0,0,0.52290094
0.0,0,0.16859698
0.0,0,0.52830756
0.0,0,0.6635623
0.0,0,0.47939274
1.0,1,0.8630678
1.0,1,0.9170119
0.0,0,0.47452027
0.0,0,0.5041374
1.0,1,1.0000001
0.0,1,1.0000001
1.0,1,0.7397679
0.0,0,0.62792253
0.0,0,0.6072291
0.0,0,0.4698241
0.0,0,0.49135417
0.0,0,0.35807014
0.0,0,0.36563087
0.0,0,0.10609238
1.0,1,0.7604305
1.0,1,0.8519747
1.0,0,0.6231231
0.0,0,0.5874812
0.0,0,0.4956274
0.0,0,0.034626257
0.0,1,0.8207505
0.0,0,0.3753235
0.0,1,0.7440775
0.0,0,0.21213138
0.0,0,0.5151684
0.0,0,-0.021748528
0.0,0,0.38789874
1.0,1,1.0
0.0,0,0.24660905
0.0,0,-0.004204709
0.0,0,0.18570895
0.0,0,0.40926364
0.0,0,0.5194378
0.0,0,0.18199454
0.0,0,0.5409889
1.0,0,0.6724169
0.0,0,0.45915353
0.0,0,0.34334913
1.0,0,0.5983921
0.0,0,0.20119706
0.0,0,0.6037062
1.0,1,0.92847204
0.0,0,0.25564888
0.0,1,0.8175638
0.0,0,0.28980422
0.0,0,0.25956076
0.0,0,0.13443178
0.0,0,0.29848325
1.0,0,0.25732943
0.0,0,0.61622435
1.0,1,0.9443
0.0,0,0.30152965
0.0,1,0.8427112
1.0,0,0.2722454
0.0,0,0.14379098
0.0,0,0.45485005
0.0,0,0.6406218
1.0,1,0.90764475
0.0,0,0.10793653
0.0,0,0.5127742
0.0,0,0.34508422
0.0,0,0.33246988
0.0,0,0.62110835
0.0,0,0.425706
0.0,0,0.48074615
0.0,1,0.71780515
1.0,1,0.95811504
1.0,1,1.0
0.0,0,0.073440045
0.0,0,0.45367128
0.0,1,1.0
0.0,0,0.37611276
0.0,0,0.6380348
0.0,0,0.27612346
0.0,0,0.6175792
1.0,0,0.35853782
0.0,0,0.17653647
0.0,0,0.27698988
0.0,0,0.6727973
0.0,0,0.14621878
1.0,1,0.9606589
0.0,0,0.5755558
1.0,0,0.6463956
0.0,0,0.412957
0.0,0,0.36056495
1.0,1,0.8845305
0.0,0,0.6166808
0.0,0,0.15638933
0.0,0,0.59128374
1.0,1,0.91443217
1.0,0,0.63552004
0.0,1,0.7823319
1.0,0,0.6080769
0.0,0,0.07023055
0.0,0,0.5393035
1.0,0,0.49796915
0.0,0,0.28946415
0.0,0,0.44111198
1.0,0,0.6212533
1.0,1,0.74498665
0.0,0,0.31724042
1.0,0,0.56596386
0.0,0,0.5375804
0.0,0,0.48657188
0.0,0,0.06273338
0.0,0,0.27852586
1.0,1,0.8568152
0.0,0,0.30069566
0.0,0,0.49112064
1.0,0,0.58830774
0.0,0,0.13948366
1.0,0,0.2463007
0.0,0,0.2981675
0.0,0,0.6869518
0.0,0,0.17346811
1.0,0,0.20144358
0.0,0,0.648051
0.0,1,0.83014303
0.0,0,0.54853344
1.0,1,0.87377155
0.0,0,0.44408798
0.0,1,0.7057979
0.0,0,0.32227364
1.0,1,1.0
1.0,1,0.81034577
0.0,0,0.02325543
1.0,0,0.10548177
0.0,0,0.5947061
0.0,0,0.53621435
1.0,1,0.7551898
0.0,0,0.40551913
1.0,1,0.81773645
0.0,1,0.82011884
0.0,1,0.7022445
1.0,1,1.0
0.0,0,0.31456906
0.0,1,0.7672764
1.0,0,0.203133
0.0,0,0.2464746
1.0,0,0.2773366
1.0,1,1.0000001
0.0,1,0.8427112
1.0,0,0.3801401
0.0,0,0.46684188
0.0,0,0.463835
1.0,1,0.7526003
1.0,1,0.9621044
0.0,1,0.69241285
0.0,0,0.3208631
0.0,0,0.43697223
0.0,0,0.30304775
1.0,1,0.8630347
1.0,0,0.2726637
0.0,0,0.2898352
0.0,0,0.4110774
